SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Struthio camelus,Common Ostrich,ostric2,species,2.0,COOS,STCA,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio molybdophanes,Somali Ostrich,ostric3,species,7.0,SOOS,STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Casuarius casuarius,Southern Cassowary,soucas1,species,10.0,SOCA,CACA,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius bennetti,Dwarf Cassowary,dwacas1,species,11.0,DWCA,CABE,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius unappendiculatus,Northern Cassowary,norcas1,species,14.0,NOCA,CAUN,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Dromaius novaehollandiae,Emu,emu1,species,15.0,EMU COEM,DRNO,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Apteryx australis,Southern Brown Kiwi,sobkiw1,species,21.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,24.0,OBKI OKKI,APRO,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,25.0,NIBK,APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx owenii,Little Spotted Kiwi,liskiw1,species,27.0,LSKI,APOW,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx maxima,Great Spotted Kiwi,grskiw1,species,29.0,GSKI,APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Rhea americana,Greater Rhea,grerhe1,species,32.0,GRRH,RHAM,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata,Lesser Rhea,lesrhe2,species,38.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,,,,rheida1
Tinamotis pentlandii,Puna Tinamou,puntin1,species,44.0,PUTI,TIPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,45.0,PATI,TIIN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,46.0,QCTI QUCT,EUFO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,49.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Taoniscus nanus,Dwarf Tinamou,dwatin1,species,62.0,DWTI,TANA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura boraquira,White-bellied Nothura,whbnot1,species,63.0,WBNO,NOBO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura minor,Lesser Nothura,lesnot1,species,64.0,LENO,NOMI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura darwinii,Darwin's Nothura,darnot1,species,65.0,DANO,NODA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura maculosa,Spotted Nothura,sponot1,species,71.0,SPNO,NOMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,84.0,HUTI,RHMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,85.0,RWTI,RHRU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,89.0,BRTI,NOCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,92.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,103.0,CBTI,NOCU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta ornata,Ornate Tinamou,orntin1,species,106.0,ORTI,NOOR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,110.0,TATI,NOTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,111.0,CHTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,115.0,TBTI,NOJU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,116.0,HOTI,NONI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei,Highland Tinamou,higtin1,species,119.0,,NOBO,HITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus major,Great Tinamou,gretin1,species,126.0,,TIMA,GRTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus solitarius,Solitary Tinamou,soltin1,species,139.0,SOTI,TISO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus tao,Gray Tinamou,grytin1,species,140.0,GRTI,TITA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus guttatus,White-throated Tinamou,whttin1,species,145.0,WTTI,TIGU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus osgoodi,Black Tinamou,blatin1,species,146.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,150.0,BETI,CRBE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,151.0,CITI,CRCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,152.0,TETI,CRPT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,153.0,SBTI,CRPA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,154.0,TATI,CRTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus,Brown Tinamou,brotin1,species,159.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus variegatus,Variegated Tinamou,vartin1,species,170.0,VATI,CRVA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,171.0,BATI,CRBA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus casiquiare,Barred Tinamou,bartin1,species,172.0,BATI,CRCA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,173.0,RUTI,CRBR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus soui,Little Tinamou,littin1,species,174.0,,CRSO,LITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus undulatus,Undulated Tinamou,undtin1,species,189.0,UNTI,CRUN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,196.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,199.0,BCTI,CRAT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,202.0,PBTI,CRTR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,203.0,ETTI,CRCI,THTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,214.0,,CRBO,SBTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus kerriae,Choco Tinamou,chotin1,species,217.0,,CRKE,CHTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,218.0,RLTI,CRER,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,226.0,GLTI,CRDU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,227.0,BRTI,CRST,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Anhima cornuta,Horned Screamer,horscr1,species,232.0,HOSC,ANCO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna torquata,Southern Screamer,souscr1,species,233.0,SOSC,CHTO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna chavaria,Northern Screamer,norscr1,species,234.0,NOSC,CHCH,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Anseranas semipalmata,Magpie Goose,maggoo1,species,236.0,MAGO,ANSE,,Anseriformes,Magpie Goose,Anseranatidae,,,,ansera1
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,species,238.0,SPWD SWDU,DEGU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,species,239.0,PLWD PWDU,DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,species,240.0,,DEVI,WFWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,species,243.0,,DEAU,BBWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,species,247.0,,DEAR,WIWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,species,249.0,FWDU,DEBI,FUWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,species,252.0,WWDU WAWD,DEAR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,species,258.0,LEWD LWDU,DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Thalassornis leuconotus,White-backed Duck,whbduc1,species,262.0,WBDU,THLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser indicus,Bar-headed Goose,bahgoo,species,265.0,BHGO,ANIN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus,Emperor Goose,empgoo,species,266.0,,ANCA,EMGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens,Snow Goose,snogoo,species,267.0,,ANCA,SNGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser rossii,Ross's Goose,rosgoo,species,272.0,,ANRO,ROGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser,Graylag Goose,gragoo,species,275.0,,ANAN,GRGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser cygnoides,Swan Goose,swagoo1,species,281.0,SWGO,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons,Greater White-fronted Goose,gwfgoo,species,287.0,,ANAL,GWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser erythropus,Lesser White-fronted Goose,lwfgoo,species,299.0,,ANER,LWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser fabalis,Taiga Bean-Goose,taibeg1,species,301.0,BEGO TBGO,ANFA,TABG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser serrirostris,Tundra Bean-Goose,tunbeg1,species,306.0,BEGO TBGO,ANSE,TUBG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser brachyrhynchus,Pink-footed Goose,pifgoo,species,311.0,,ANBR,PFGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta bernicla,Brant,brant,species,314.0,BRGO,BRBE,BRAN,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta leucopsis,Barnacle Goose,bargoo,species,322.0,BAGO,BRLE,BARG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta hutchinsii,Cackling Goose,cacgoo1,species,331.0,CAGO,BRHU,CACG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta canadensis,Canada Goose,cangoo,species,342.0,CAGO,BRCA,CANG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta sandvicensis,Hawaiian Goose,hawgoo,species,365.0,NENE,BRSA,HAGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta ruficollis,Red-breasted Goose,rebgoo1,species,367.0,RBGO,BRRU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1,species,372.0,CBGO,CENO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Stictonetta naevosa,Freckled Duck,freduc1,species,375.0,FRDU,STNA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1,species,376.0,BWGO,CYCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus olor,Mute Swan,mutswa,species,377.0,,CYOL,MUSW,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus atratus,Black Swan,blkswa,species,379.0,BLSW,CYAT,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus melancoryphus,Black-necked Swan,blnswa2,species,381.0,BNSW,CYME,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus buccinator,Trumpeter Swan,truswa,species,382.0,TRSW,CYBU,TRUS,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus columbianus,Tundra Swan,tunswa,species,384.0,BESW,CYCO,TUSW,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus cygnus,Whooper Swan,whoswa,species,390.0,WHSW,CYCY,WHOS,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Coscoroba coscoroba,Coscoroba Swan,cosswa1,species,395.0,COSW,COCO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Sarkidiornis melanotos,Knob-billed Duck,comduc2,species,396.0,KBDU,SAME,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Sarkidiornis sylvicola,Comb Duck,comduc3,species,397.0,ACDU,SASY,CODU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Pteronetta hartlaubii,Hartlaub's Duck,harduc1,species,398.0,HADU,PTHA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Oressochen jubatus,Orinoco Goose,origoo1,species,399.0,,ORJU,ORGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Oressochen melanopterus,Andean Goose,andgoo1,species,400.0,ANGO,ORME,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chloephaga picta,Upland Goose,uplgoo1,species,401.0,UPGO,CHPI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chloephaga hybrida,Kelp Goose,kelgoo1,species,406.0,KEGO,CHHY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chloephaga poliocephala,Ashy-headed Goose,ashgoo1,species,409.0,AHGO,CHPO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chloephaga rubidiceps,Ruddy-headed Goose,ruhgoo1,species,410.0,RHGO,CHRU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Radjah radjah,Radjah Shelduck,radshe1,species,414.0,RASH,RARA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Alopochen aegyptiaca,Egyptian Goose,egygoo,species,417.0,,ALAE,EGGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Alopochen mauritiana,Mauritius Shelduck,maushe1,species,419.0,MASH,ALMA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,true,0,anatid1
Alopochen kervazoi,Reunion Shelduck,reushe1,species,420.0,RESH,ALKE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,true,0,anatid1
Tadorna ferruginea,Ruddy Shelduck,rudshe,species,421.0,,TAFE,RUSH,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna cana,South African Shelduck,soashe1,species,423.0,SASH,TACA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna tadornoides,Australian Shelduck,ausshe1,species,424.0,AUSH CBSH,TATA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna variegata,Paradise Shelduck,parshe1,species,425.0,PASH,TAVA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna tadorna,Common Shelduck,comshe,species,426.0,COSH,TATA,COMS,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna cristata,Crested Shelduck,creshe1,species,428.0,CRSH,TACR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,true,1916,anatid1
Plectropterus gambensis,Spur-winged Goose,spwgoo1,species,429.0,SWGO,PLGA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tachyeres patachonicus,Flying Steamer-Duck,flystd1,species,432.0,FLST FLSD FSDU,TAPA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tachyeres pteneres,Flightless Steamer-Duck,flistd1,species,433.0,MAST FSDU FLSD,TAPT,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tachyeres brachypterus,Falkland Steamer-Duck,falstd1,species,435.0,FAST FASD FSDU,TABR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tachyeres leucocephalus,White-headed Steamer-Duck,whhstd1,species,438.0,WHST WHSD CSDU,TALE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Lophonetta specularioides,Crested Duck,creduc1,species,441.0,CRDU,LOSP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Speculanas specularis,Spectacled Duck,speduc2,species,444.0,SPDU BWDU,SPSP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cairina moschata,Muscovy Duck,musduc,species,445.0,,CAMO,MUDU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Nettapus pulchellus,Green Pygmy-Goose,grnpyg1,species,448.0,GPGO GRPG,NEPU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Nettapus coromandelianus,Cotton Pygmy-Goose,copgoo1,species,449.0,COPG CPGO,NECO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Nettapus auritus,African Pygmy-Goose,afrpyg1,species,453.0,APGO AFPG,NEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Callonetta leucophrys,Ringed Teal,rintea1,species,454.0,RITE,CALE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aix sponsa,Wood Duck,wooduc,species,455.0,AWDU CWDU,AISP,WODU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aix galericulata,Mandarin Duck,manduc,species,457.0,MADU,AIGA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chenonetta jubata,Maned Duck,manduc1,species,459.0,AWDU MADU,CHJU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chenonetta finschi,Finsch's Duck,finduc1,species,460.0,FIDU,CHFI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,true,1760,anatid1
Amazonetta brasiliensis,Brazilian Teal,bratea1,species,461.0,BRTE,AMBR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Hymenolaimus malacorhynchos,Blue Duck,bluduc1,species,465.0,BLDU,HYMA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Merganetta armata,Torrent Duck,torduc1,species,468.0,TODU,MEAR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Salvadorina waigiuensis,Salvadori's Teal,saltea1,species,477.0,SATE,SAWA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Sibirionetta formosa,Baikal Teal,baitea,species,478.0,,SIFO,BATE,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula querquedula,Garganey,gargan,species,479.0,,SPQU,GARG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula hottentota,Blue-billed Teal,hottea1,species,480.0,HOTE BBTE,SPHO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula versicolor,Silver Teal,siltea1,species,481.0,SITE,SPVE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula puna,Puna Teal,puntea1,species,484.0,PUTE,SPPU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula discors,Blue-winged Teal,buwtea,species,485.0,,SPDI,BWTE,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula cyanoptera,Cinnamon Teal,cintea,species,487.0,,SPCY,CITE,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula platalea,Red Shoveler,redsho1,species,496.0,RESH,SPPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula smithii,Cape Shoveler,capsho1,species,497.0,CASH,SPSM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula rhynchotis,Australasian Shoveler,aussho1,species,498.0,AUSH,SPRH,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula clypeata,Northern Shoveler,norsho,species,501.0,NOSH,SPCL,NSHO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca strepera,Gadwall,gadwal,species,505.0,,MAST,GADW,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca falcata,Falcated Duck,falduc,species,509.0,,MAFA,FADU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca penelope,Eurasian Wigeon,eurwig,species,512.0,,MAPE,EUWI,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca americana,American Wigeon,amewig,species,517.0,,MAAM,AMWI,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca sibilatrix,Chiloe Wigeon,chiwig1,species,524.0,CHWI,MASI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca marecula,Amsterdam Duck,amsduc1,species,526.0,AMWI AMDU,MAMA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,true,1793,anatid1
Anas sparsa,African Black Duck,afbduc1,species,527.0,ABDU,ANSP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas undulata,Yellow-billed Duck,yebduc1,species,530.0,YBDU,ANUN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas melleri,Meller's Duck,melduc1,species,533.0,MEDU,ANME,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas superciliosa,Pacific Black Duck,pabduc1,species,534.0,GRDU PBDU,ANSU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas laysanensis,Laysan Duck,layduc,species,537.0,LADU,ANLA,LAYD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas wyvilliana,Hawaiian Duck,hawduc,species,538.0,HADU,ANWY,HAWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas luzonica,Philippine Duck,phiduc1,species,539.0,PHDU,ANLU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas poecilorhyncha,Indian Spot-billed Duck,isbduc1,species,540.0,ISBD,ANPO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas zonorhyncha,Eastern Spot-billed Duck,spbduc,species,543.0,CSBD,ANZO,ESBD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos,Mallard,mallar3,species,545.0,,ANPL,MALL,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas diazi,Mexican Duck,mexduc,species,568.0,MODU,ANDI,MEDU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas rubripes,American Black Duck,ambduc,species,571.0,,ANRU,ABDU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas fulvigula,Mottled Duck,motduc,species,575.0,,ANFU,MODU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas capensis,Cape Teal,captea1,species,584.0,CATE,ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas bahamensis,White-cheeked Pintail,whcpin,species,585.0,WCPI,ANBA,WCHP,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas erythrorhyncha,Red-billed Duck,rebduc1,species,591.0,RBDU RBTE,ANER,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas acuta,Northern Pintail,norpin,species,594.0,,ANAC,NOPI,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas eatoni,Eaton's Pintail,eatpin1,species,603.0,EAPI SOPI,ANEA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas georgica,Yellow-billed Pintail,yebpin1,species,606.0,YBPI,ANGE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas crecca,Green-winged Teal,gnwtea,species,612.0,EUTE CWTE EWTE,ANCR,GWTE,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas andium,Andean Teal,spetea3,species,626.0,ANTE,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
